id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
42795155,Bright & Spacious Private Room & Private Bathroom,213831661,Lorenzo,,Riley Park,49.24742,-123.10229,Private room,100,2,0,,,4,363
42797558,Luxurious Brand New Cozy 2-BR of Vancouver,256709232,Angel,,Killarney,49.22873,-123.04177,Entire home/apt,110,1,0,,,4,134
42812975,Fully Furnished 2 Bedroom Yaletown Condo,2502595,LEVEL Furnished Living,,Downtown,49.27897,-123.12148,Entire home/apt,349,30,0,,,18,365
42813067,Two Bedroom Apartment Unit in Downtown Vancouver,2502595,LEVEL Furnished Living,,Downtown,49.27859,-123.12325,Entire home/apt,409,1,0,,,18,30
42818058,Old plum tree Style Suite 10-1,65695410,Jian Feng,,Sunset,49.22236,-123.09232,Private room,24,30,0,,,5,134
42820256,Unique heritage house with mid-century modern vibe,10527114,David,,Mount Pleasant,49.26489,-123.10995,Entire home/apt,210,30,0,,,1,348
42831814,"1 Bedroom condo, Vancouver BC- Clean, great view",197192537,Sunny,,Downtown,49.27872,-123.12536,Entire home/apt,210,3,0,,,1,4
42833057,Spacious 2 Bd Home in Beautiful Neighborhood,719405,Sean,,Mount Pleasant,49.25755,-123.08394,Entire home/apt,100,30,0,,,1,32
42838837,Brand new 1 bedroom+ Den near Water in Downtown,341163458,Better,,Downtown,49.27651,-123.12764,Entire home/apt,84,30,0,,,1,78
42840585,Downtown Living at its finest,338853766,Alexander,,West End,49.28799,-123.12817,Entire home/apt,500,1,0,,,1,20
42842762,Newer GuestSuite Beautiful house Westside Vancouve,98821337,Geo,,Dunbar Southlands,49.24529,-123.17028,Entire home/apt,110,30,0,,,1,273
42843143,"Ideal Family Stay on Main Street, Vancouver",32877193,Danny,,Mount Pleasant,49.25974,-123.1036,Entire home/apt,416,3,0,,,1,86
42843544,Luxury 5BR House / Up to 10 guests / Close to YVR,210999504,Fred,,Victoria-Fraserview,49.21186,-123.06253,Entire home/apt,699,1,3,2020-05-13,3,1,135
42857003,Vancouver Cozy Room,119331236,Sharon,,Killarney,49.23046,-123.02652,Private room,51,1,0,,,4,73
42863544,Float on the water,341326496,Mathieu,,Downtown,49.27351,-123.13204,Entire home/apt,349,90,0,,,1,179
42864199,Brand New Luxury Studio,268249072,David,,Downtown,49.2747,-123.13128,Entire home/apt,100,4,1,2020-04-04,0.73,1,40
42865303,Peaceful Downtown Vancouver Getaway - Beach & Shop,79287784,Aaron,,West End,49.28156,-123.12796,Entire home/apt,180,2,3,2020-04-16,1.61,2,25
42865324,Beautiful Vibrant Neighbourhood !,182431996,Mandy,,Sunset,49.22337,-123.08912,Entire home/apt,159,1,0,,,1,364
42865985,East Van Gem -  1 Bed + Sofa Bed +Free Parking,56517152,Sarah,,Grandview-Woodland,49.2859,-123.05973,Entire home/apt,94,30,0,,,1,342
42870518,New townhouse 2 Bed at Oakridge / near downtown,8075572,Christina,,Riley Park,49.2333,-123.1087,Entire home/apt,286,2,0,,,1,269
